Mot,Ligne,Colonne,Page,identifiant,
JOUEUR DE FOOTBALL,1,4,football_américain_-_2,joueur_de_football@football_américain_-_2,
SECONDEUR,2,4,football_américain_-_2,secondeur@football_américain_-_2,
LIGNE DÉFENSIVE,1,5,football_américain_-_2,ligne_défensive@football_américain_-_2,
SÉRIE ÉLIMINATOIRE,2,5,football_américain_-_2,série_éliminatoire@football_américain_-_2,
LIGNES DE TOUCHE,1,6,football_américain_-_2,lignes_de_touche@football_américain_-_2,
UNIFORME DE FOOTBALL,2,6,football_américain_-_2,uniforme_de_football@football_américain_-_2,
ALOUETTES DE MONTRÉAL,1,7,football_américain_-_2,alouettes_de_montréal@football_américain_-_2,
ZONE DE BUTS,2,7,football_américain_-_2,zone_de_buts@football_américain_-_2,
NEW ENGLAND PATRIOTS,1,8,football_américain_-_2,new_england_patriots@football_américain_-_2,
RETOUR,4,8,football_américain_-_2,retour@football_américain_-_2,
,,,retour@football_américain_-_2,football_américain,
JE,1,1,soccer,je@soccer,
TU,2,1,soccer,tu@soccer,
BALLON,3,1,soccer,ballon@soccer,
PENALTY,4,1,soccer,penalty@soccer,
ÊTRE,1,2,soccer,être@soccer,
JOUER,2,2,soccer,jouer@soccer,
BUT,3,2,soccer,but@soccer,
PROLONGATION,4,2,soccer,prolongation@soccer,
VOULOIR,1,3,soccer,vouloir@soccer,
ALLER,2,3,soccer,aller@soccer,
CARTON JAUNE,3,3,soccer,carton_jaune@soccer,
TERRAIN DE SOCCER,4,3,soccer,terrain_de_soccer@soccer,
AIMER,1,4,soccer,aimer@soccer,
FRAPPER LE BALLON,2,4,soccer,frapper_le_ballon@soccer,
CARTON ROUGE,3,4,soccer,carton_rouge@soccer,
FAIRE,1,5,soccer,faire@soccer,
MARQUER,2,5,soccer,marquer@soccer,
CRAMPONS,3,5,soccer,crampons@soccer,
QUOI,1,6,soccer,quoi@soccer,
SIFFLER,2,6,soccer,siffler@soccer,
ÉQUIPE DE SOCCER,3,6,soccer,équipe_de_soccer@soccer,
OÙ,1,7,soccer,où@soccer,
PAS,2,7,soccer,pas@soccer,
JOUEUR DE SOCCER,3,7,soccer,joueur_de_soccer@soccer,
ENCORE ,1,8,soccer,encore@soccer,
C’EST FINI,2,8,soccer,c’est_fini@soccer,
MATCH DE SOCCER,3,8,soccer,match_de_soccer@soccer,
PLUS,4,8,soccer,plus@soccer,
,,,plus@soccer,soccer_-_2,
COUPE D’EUROPE,1,1,soccer_-_2,coupe_d’europe@soccer_-_2,
REAL MADRID,2,1,soccer_-_2,real_madrid@soccer_-_2,
COUPE DU MONDE,1,2,soccer_-_2,coupe_du_monde@soccer_-_2,
SAISON DE SOCCER,2,2,soccer_-_2,saison_de_soccer@soccer_-_2,
FC BARCELONA,1,3,soccer_-_2,fc_barcelona@soccer_-_2,
STADE DE SOCCER,2,3,soccer_-_2,stade_de_soccer@soccer_-_2,
FIFA,1,4,soccer_-_2,fifa@soccer_-_2,
ZONE DE BUTS,2,4,soccer_-_2,zone_de_buts@soccer_-_2,
LIGUE DES CHAMPIONS,1,5,soccer_-_2,ligue_des_champions@soccer_-_2,
LOS ANGELES GALAXY,1,6,soccer_-_2,los_angeles_galaxy@soccer_-_2,
MAJOR LEAGUE SOCCER,1,7,soccer_-_2,major_league_soccer@soccer_-_2,
MONTREAL IMPACT ,1,8,soccer_-_2,montreal_impact@soccer_-_2,
RETOUR,4,8,soccer_-_2,retour@soccer_-_2,
,,,retour@soccer_-_2,soccer,
JE,1,1,loisirs,je@loisirs,
TU,2,1,loisirs,tu@loisirs,
ÇA,3,1,loisirs,ça@loisirs,
JEU VIDÉO,4,1,loisirs,jeu_vidéo@loisirs,
ÊTRE,1,2,loisirs,être@loisirs,
À MOI,2,2,loisirs,à@moi@loisirs,
ÉCOUTER DE LA MUSIQUE,3,2,loisirs,écouter_de_la_musique@loisirs,
PATIN À GLACE,4,2,loisirs,patin_à_glace@loisirs,
VOULOIR,1,3,loisirs,vouloir@loisirs,
À TOI,2,3,loisirs,à_toi@loisirs,
FAIRE DU VÉLO,3,3,loisirs,faire_du_vélo@loisirs,
AIMER,1,4,loisirs,aimer@loisirs,
BALANCER,2,4,loisirs,balancer@loisirs,
JOUER AU BALLON,3,4,loisirs,jouer_au_ballon@loisirs,
FAIRE,1,5,loisirs,faire@loisirs,
CHATOUILLER,2,5,loisirs,chatouiller@loisirs,
JOUER DEHORS,3,5,loisirs,jouer_dehors@loisirs,
QUOI,1,6,loisirs,quoi@loisirs,
COLORIER,2,6,loisirs,colorier@loisirs,
LIRE,3,6,loisirs,lire@loisirs,
OÙ,1,7,loisirs,où@loisirs,
PAS,2,7,loisirs,pas@loisirs,
BIEN,3,7,loisirs,bien@loisirs,
ENCORE,1,8,loisirs,encore@loisirs,
C’EST FINI,2,8,loisirs,c’est_fini@loisirs,
PROMENER,3,8,loisirs,promener@loisirs,
PLUS,4,8,loisirs,plus@loisirs,
,,,plus@loisirs,loisirs,
DÉGUISER,1,1,loisirs_-_2,déguiser@loisirs_-_2,
CACHETTE,2,1,loisirs_-_2,cachette@loisirs_-_2,
TRAMPOLINE,3,1,loisirs_-_2,trampoline@loisirs_-_2,
FAIRE UNE RANDONNÉE,1,2,loisirs_-_2,faire_une_randonnée@loisirs_-_2,
CAMPING,2,2,loisirs_-_2,camping@loisirs_-_2,
TROTTINETTE,3,2,loisirs_-_2,trottinette@loisirs_-_2,
JOUER AUX CARTES,1,3,loisirs_-_2,jouer_aux_cartes@loisirs_-_2,
ESCALADE,2,3,loisirs_-_2,escalade@loisirs_-_2,
PATINER,1,4,loisirs_-_2,patiner@loisirs_-_2,
SIMON DIT,2,4,loisirs_-_2,simon_dit@loisirs_-_2,
REBONDIR SUR LE BALLON,1,5,loisirs_-_2,rebondir_sur_le_ballon@loisirs_-_2,
MARELLE,2,5,loisirs_-_2,marelle@loisirs_-_2,
SAUTER À LA CORDE,1,6,loisirs_-_2,sauter_à_la_corde@loisirs_-_2,
MINI-GOLF,2,6,loisirs_-_2,mini-golf@loisirs_-_2,
TRICOTER,1,7,loisirs_-_2,tricoter@loisirs_-_2,
PERLES,2,7,loisirs_-_2,perles@loisirs_-_2,
ALBUM DE PHOTOS,1,8,loisirs_-_2,album_de_photos@loisirs_-_2,
TRAÎNEAU,2,8,loisirs_-_2,traîneau@loisirs_-_2,
RETOUR,4,8,loisirs_-_2,retour@loisirs_-_2,
,,,retour@loisirs_-_2,loisirs,
JE,1,1,pensée,je@pensée,
TU,2,1,pensée,tu@pensée,
MORT,3,1,pensée,mort@pensée,
RÊVE,4,1,pensée,rêve@pensée,
ÊTRE,1,2,pensée,être@pensée,
DISCOURS,2,2,pensée,discours@pensée,
PENSÉE,3,2,pensée,pensée@pensée,
SOUHAIT,4,2,pensée,souhait@pensée,
VOULOIR,1,3,pensée,vouloir@pensée,
ESPRIT,2,3,pensée,esprit@pensée,
PLAN,3,3,pensée,plan@pensée,
VÉRITÉ,4,3,pensée,vérité@pensée,
AIMER,1,4,pensée,aimer@pensée,
IDÉE,2,4,pensée,idée@pensée,
PRIÈRE,3,4,pensée,prière@pensée,
VIE,4,4,pensée,vie@pensée,
FAIRE,1,5,pensée,faire@pensée,
MAUVAISE IDÉE,2,5,pensée,mauvaise_idée@pensée,
PROBLÈME,3,5,pensée,problème@pensée,
CAUCHEMAR,1,6,pensée,cauchemar@pensée,
MENSONGE,2,6,pensée,mensonge@pensée,
PROMESSE,3,6,pensée,promesse@pensée,
CHOIX,1,7,pensée,choix@pensée,
PAS,2,7,pensée,pas@pensée,
RAISON,3,7,pensée,raison@pensée,
ENCORE,1,8,pensée,encore@pensée,
C’EST FINI,2,8,pensée,c’est_fini@pensée,
RÉPONSE,3,8,pensée,réponse@pensée,
PLUS,4,8,pensée,plus@pensée,
,,,plus@pensée,pensée_-_2,
IMAGINATION,1,1,pensée_-_2,imagination@pensée_-_2,
MÉMOIRE,1,2,pensée_-_2,mémoire@pensée_-_2,
VOTE,1,3,pensée_-_2,vote@pensée_-_2,
RETOUR,4,8,pensée_-_2,retour@pensée_-_2,
,,,retour@pensée_-_2,pensée,
JE,1,1,lieux,je@lieux,
TU,2,1,lieux,tu@lieux,
Y,3,1,lieux,y@lieux,
LIEU,4,1,lieux,lieu@lieux,
ÊTRE,1,2,lieux,être@lieux,
VENIR,2,2,lieux,venir@lieux,
CENTRE D’ACHATS,3,2,lieux,centre_d’achats@lieux,
MAGASIN,4,2,lieux,magasin@lieux,
VOULOIR,1,3,lieux,vouloir@lieux,
ALLER,2,3,lieux,aller@lieux,
CLASSE,3,3,lieux,classe@lieux,
PARC,4,3,lieux,parc@lieux,
AIMER,1,4,lieux,aimer@lieux,
APPARTEMENT,2,4,lieux,appartement@lieux,
COUR DE RÉCRÉATION,3,4,lieux,cour_de_récréation@lieux,
RESTAURANT,4,4,lieux,restaurant@lieux,
DEDANS,1,5,lieux,dedans@lieux,
AUTOBUS,2,5,lieux,autobus@lieux,
DOMICILE,3,5,lieux,domicile@lieux,
SALON,4,5,lieux,salon@lieux,
DEHORS,1,6,lieux,dehors@lieux,
CAFÉTÉRIA,2,6,lieux,cafétéria@lieux,
À,3,6,lieux,à@lieux,
THÉRAPIE,4,6,lieux,thérapie@lieux,
OÙ,1,7,lieux,où@lieux,
PAS,2,7,lieux,pas@lieux,
ÉCOLE,3,7,lieux,école@lieux,
TOILETTE,4,7,lieux,toilette@lieux,
ENCORE,1,8,lieux,encore@lieux,
C’EST FINI,2,8,lieux,c’est_fini@lieux,
FÊTE,3,8,lieux,fête@lieux,
PAGE SUIVANTE,4,8,lieux,page_suivante@lieux,
,,,page_suivante@lieux,lieux_-_2,
AUTO,1,1,lieux_-_2,auto@lieux_-_2,
PAGE PRÉCÉDENTE,4,7,lieux_-_2,page_précédente@lieux_-_2,
,,,page_précédente@lieux_-_2,lieux,
PLUS,4,8,lieux_-_2,plus@lieux_-_2,
,,,plus@lieux_-_2,lieux_-_3,
AÉROPORT,1,1,lieux_-_3,aéroport@lieux_-_3,
LIEUX CÉLÈBRES,2,1,lieux_-_3,lieux_célèbres@lieux_-_3,
,,,lieux_célèbres@lieux_-_3,lieux_célèbres,
PAYS,3,1,lieux_-_3,pays@lieux_-_3,
,,,pays@lieux_-_3,pays,
BIBLIOTHÈQUE,1,2,lieux_-_3,bibliothèque@lieux_-_3,
MAISON,2,2,lieux_-_3,maison@lieux_-_3,
,,,maison@lieux_-_3,maison,
PROVINCES DU CANADA,3,2,lieux_-_3,provinces_du_canada@lieux_-_3,
,,,provinces_du_canada@lieux_-_3,provinces_du_canada,
CINÉMA,1,3,lieux_-_3,cinéma@lieux_-_3,
LIEUX EXTÉRIEURS,2,3,lieux_-_3,lieux_extérieurs@lieux_-_3,
,,,lieux_extérieurs@lieux_-_3,lieux_extérieurs,
MA CHAMBRE,1,4,lieux_-_3,ma_chambre@lieux_-_3,
RESTAURANTS,2,4,lieux_-_3,restaurants@lieux_-_3,
,,,restaurants@lieux_-_3,restaurants,
MAISON,1,5,lieux_-_3,maison@lieux_-_3,
LIEUX DE L’ÉCOLE,2,5,lieux_-_3,lieux_de_l’école@lieux_-_3,
,,,lieux_de_l’école@lieux_-_3,lieux_de_l’école,
TRAVAIL,1,6,lieux_-_3,travail@lieux_-_3,
ÉVÉNEMENTS SPÉCIAUX,2,6,lieux_-_3,événements_spéciaux@lieux_-_3,
,,,événements_spéciaux@lieux_-_3,événements_spéciaux,
PARTIES D’IMMEUBLES,1,7,lieux_-_3,parties_d’immeubles@lieux_-_3,
,,,parties_d’immeubles@lieux_-_3,parties_d’immeubles,
MAGASINS,2,7,lieux_-_3,magasins@lieux_-_3,
,,,magasins@lieux_-_3,magasins,
LIEUX PUBLICS ,1,8,lieux_-_3,lieux_publics@lieux_-_3,
,,,lieux_publics@lieux_-_3,lieux_publics,
TRAVAIL,2,8,lieux_-_3,travail@lieux_-_3,
,,,travail@lieux_-_3,travail,
RETOUR,4,8,lieux_-_3,retour@lieux_-_3,
,,,retour@lieux_-_3,lieux,
JE,1,1,lieux_célèbres,je@lieux_célèbres,
TU,2,1,lieux_célèbres,tu@lieux_célèbres,
Y,3,1,lieux_célèbres,y@lieux_célèbres,
ÊTRE,1,2,lieux_célèbres,être@lieux_célèbres,
VENIR,2,2,lieux_célèbres,venir@lieux_célèbres,
PARLEMENT QUÉBÉCOIS,3,2,lieux_célèbres,parlement_québécois@lieux_célèbres,
VOULOIR,1,3,lieux_célèbres,vouloir@lieux_célèbres,
ALLER,2,3,lieux_célèbres,aller@lieux_célèbres,
ROCHER PERCÉ,3,3,lieux_célèbres,rocher_percé@lieux_célèbres,
AIMER,1,4,lieux_célèbres,aimer@lieux_célèbres,
DISNEY WORLD,2,4,lieux_célèbres,disney_world@lieux_célèbres,
STADE OLYMPIQUE,3,4,lieux_célèbres,stade_olympique@lieux_célèbres,
CHÂTEAU FRONTENAC,1,5,lieux_célèbres,château_frontenac@lieux_célèbres,
GRANDS LACS,2,5,lieux_célèbres,grands_lacs@lieux_célèbres,
STATUE DE LA LIBERTÉ,3,5,lieux_célèbres,statue_de_la_liberté@lieux_célèbres,
CHUTES DU NIAGARA,1,6,lieux_célèbres,chutes_du_niagara@lieux_célèbres,
PARLEMENT CANADIEN,2,6,lieux_célèbres,parlement_canadien@lieux_célèbres,
À,3,6,lieux_célèbres,à@lieux_célèbres,
OÙ,1,7,lieux_célèbres,où@lieux_célèbres,
PAS,2,7,lieux_célèbres,pas@lieux_célèbres,
TOUR EIFFEL,3,7,lieux_célèbres,tour_eiffel@lieux_célèbres,
ENCORE ,1,8,lieux_célèbres,encore@lieux_célèbres,
C’EST FINI,2,8,lieux_célèbres,c’est_fini@lieux_célèbres,
PLUS,4,8,lieux_célèbres,plus@lieux_célèbres,
,,,plus@lieux_célèbres,lieux_célèbres_-_2,
COLISEUM,1,1,lieux_célèbres_-_2,coliseum@lieux_célèbres_-_2,
EMPIRE STATE BUILDING,1,2,lieux_célèbres_-_2,empire_state_building@lieux_célèbres_-_2,
GRANDE PYRAMIDE DE GIZEH,1,3,lieux_célèbres_-_2,grande_pyramide_de_gizeh@lieux_célèbres_-_2,
TAJ MAHAL,1,4,lieux_célèbres_-_2,taj_mahal@lieux_célèbres_-_2,
TOUR DE PISA,1,5,lieux_célèbres_-_2,tour_de_pisa@lieux_célèbres_-_2,
WORLD TRADE CENTER,1,6,lieux_célèbres_-_2,world_trade_center@lieux_célèbres_-_2,
RETOUR,4,7,lieux_célèbres_-_2,retour@lieux_célèbres_-_2,
,,,retour@lieux_célèbres_-_2,lieux,
JE,1,1,pays,je@pays,
TU,2,1,pays,tu@pays,
Y,3,1,pays,y@pays,
QUÉBEC,4,1,pays,québec@pays,
ÊTRE,1,2,pays,être@pays,
VENIR,2,2,pays,venir@pays,
ESPAGNE,3,2,pays,espagne@pays,
VOULOIR,1,3,pays,vouloir@pays,
ALLER,2,3,pays,aller@pays,
ÉTATS-UNIS,3,3,pays,états-unis@pays,
AIMER,1,4,pays,aimer@pays,
BRÉSIL,2,4,pays,brésil@pays,
FRANCE,3,4,pays,france@pays,
ALLEMAGNE,1,5,pays,allemagne@pays,
CANANDA,2,5,pays,cananda@pays,
GRANDE-BRETAGNE,3,5,pays,grande-bretagne@pays,
AUSTRALIE,1,6,pays,australie@pays,
CUBA,2,6,pays,cuba@pays,
À,3,6,pays,à@pays,
OÙ,1,7,pays,où@pays,
PAS,2,7,pays,pas@pays,
ITALIE,3,7,pays,italie@pays,
ENCORE,1,8,pays,encore@pays,
C’EST FINI,2,8,pays,c’est_fini@pays,
MEXIQUE,3,8,pays,mexique@pays,
PLUS,4,8,pays,plus@pays,
,,,plus@pays,pays_-_2,
ABOU DABI ,1,1,pays_-_2,abou_dabi@pays_-_2,
ARMÉNIE,2,1,pays_-_2,arménie@pays_-_2,
BÉLIZE,3,1,pays_-_2,brésil@pays_-_2,
BULGARIE,4,1,pays_-_2,bulgarie@pays_-_2,
AFGHANISTAN,1,2,pays_-_2,afghanistan@pays_-_2,
AUTRICHE,2,2,pays_-_2,autriche@pays_-_2,
BÉNIN,3,2,pays_-_2,bénin@pays_-_2,
BURKINA FASO,4,2,pays_-_2,burkina_faso@pays_-_2,
AFRIQUE DU SUD,1,3,pays_-_2,afrique_du_sud@pays_-_2,
AZERBAÏDJAN,2,3,pays_-_2,azerbaïdjan@pays_-_2,
BHOUTAN,3,3,pays_-_2,bhoutan@pays_-_2,
BURUNDI,4,3,pays_-_2,burundi@pays_-_2,
ALBANIE,1,4,pays_-_2,albanie@pays_-_2,
BAHAMAS,2,4,pays_-_2,bahamas@pays_-_2,
BIÉLORUSSIE,3,4,pays_-_2,biélorussie@pays_-_2,
CAMBODGE,4,4,pays_-_2,cambodge@pays_-_2,
ALGÉRIE,1,5,pays_-_2,algérie@pays_-_2,
BAHREÏN,2,5,pays_-_2,bahreïn@pays_-_2,
BOLIVIE,3,5,pays_-_2,bolivie@pays_-_2,
CAMEROUN,4,5,pays_-_2,cameroun@pays_-_2,
ANGOLA,1,6,pays_-_2,angola@pays_-_2,
BANGLADESH,2,6,pays_-_2,bangladesh@pays_-_2,
BOSNIE-HERZÉGOVINE,3,6,pays_-_2,bosnie-herzégovine@pays_-_2,
CAP-VERT,4,6,pays_-_2,cap-vert@pays_-_2,
ARABIE SAOUDITE,1,7,pays_-_2,arabie_saoudite@pays_-_2,
BARBADE,2,7,pays_-_2,barbade@pays_-_2,
BOTSWANA,3,7,pays_-_2,botswana@pays_-_2,
CHILI,4,7,pays_-_2,chili@pays_-_2,
ARGENTINE,1,8,pays_-_2,argentine@pays_-_2,
BELGIQUE,2,8,pays_-_2,belgique@pays_-_2,
BRUNEI,3,8,pays_-_2,brunei@pays_-_2,
PAGE SUIVANTE,4,8,pays_-_2,page_suivante@pays_-_2,
,,,page_suivante@pays_-_2,pays_-_3,
CHINE,1,1,pays_-_3,chine@pays_-_3,
DANEMARK,2,1,pays_-_3,danemark@pays_-_3,
FIDJI,3,1,pays_-_3,fidji@pays_-_3,
GUAM,4,1,pays_-_3,guam@pays_-_3,
CHYPRE,1,2,pays_-_3,chypre@pays_-_3,
DUBAÏ,2,2,pays_-_3,dubaï@pays_-_3,
FINLANDE,3,2,pays_-_3,finlande@pays_-_3,
GUATEMALA,4,2,pays_-_3,guatemala@pays_-_3,
COLOMBIE,1,3,pays_-_3,colombie@pays_-_3,
ÉGYPTE,2,3,pays_-_3,égypte@pays_-_3,
GABON,3,3,pays_-_3,gabon@pays_-_3,
GUINÉE,4,3,pays_-_3,guinée@pays_-_3,
CORÉE DU NORD,1,4,pays_-_3,corée_du_nord@pays_-_3,
ÉMIRATS ARABES UNIS,2,4,pays_-_3,émirats_arabes_unis@pays_-_3,
GAMBIE,3,4,pays_-_3,gambie@pays_-_3,
GUINÉE ÉQUATORIALE,4,4,pays_-_3,guinée_équatoriale@pays_-_3,
CORÉE DU SUD,1,5,pays_-_3,corée_du_sud@pays_-_3,
ÉQUATEUR,2,5,pays_-_3,équateur@pays_-_3,
GÉORGIE,3,5,pays_-_3,géorgie@pays_-_3,
GUINÉE-BISSAU,4,5,pays_-_3,guinée-bissau@pays_-_3,
COSTA RICA,1,6,pays_-_3,costa_rica@pays_-_3,
ÉRYTHRÉE,2,6,pays_-_3,érythrée@pays_-_3,
GHANA,3,6,pays_-_3,ghana@pays_-_3,
HAÏTI,4,6,pays_-_3,haïti@pays_-_3,
CÔTE D’IVOIRE,1,7,pays_-_3,côte_d’ivoire@pays_-_3,
ESTONIE,2,7,pays_-_3,estonie@pays_-_3,
GRÈCE,3,7,pays_-_3,grèce@pays_-_3,
PAGE PRÉCÉDENTE,4,7,pays_-_3,page_précédente@pays_-_3,
,,,page_précédente@pays_-_3,pays_-_2,
CROATIE,1,8,pays_-_3,croatie@pays_-_3,
ÉTHIOPIE,2,8,pays_-_3,éthiopie@pays_-_3,
GROENLAND,3,8,pays_-_3,groenland@pays_-_3,
PAGE SUIVANTE,4,8,pays_-_3,page_suivante@pays_-_3,
,,,page_suivante@pays_-_3,pays_-_4,
HONDURAS ,1,1,pays_-_4,honduras@pays_-_4,
ISLANDE,2,1,pays_-_4,islande@pays_-_4,
KOSOVO,3,1,pays_-_4,kosovo@pays_-_4,
LIBYE,4,1,pays_-_4,libye@pays_-_4,
HONG KONG,1,2,pays_-_4,hong_kong@pays_-_4,
ISRAËL,2,2,pays_-_4,israël@pays_-_4,
KOWEÏT,3,2,pays_-_4,koweït@pays_-_4,
LIECHTENSTEIN,4,2,pays_-_4,liechtenstein@pays_-_4,
HONGRIE,1,3,pays_-_4,hongrie@pays_-_4,
JAMAÏQUE,2,3,pays_-_4,jamaïque@pays_-_4,
LAOS,3,3,pays_-_4,laos@pays_-_4,
LITUANIE,4,3,pays_-_4,lituanie@pays_-_4,
INDE,1,4,pays_-_4,inde@pays_-_4,
JAPON,2,4,pays_-_4,japon@pays_-_4,
LE SALVADOR,3,4,pays_-_4,le_salvador@pays_-_4,
LUXEMBOURG,4,4,pays_-_4,luxembourg@pays_-_4,
INDONÉSIE,1,5,pays_-_4,indonésie@pays_-_4,
JORDANIE,2,5,pays_-_4,jordanie@pays_-_4,
LESOTHO,3,5,pays_-_4,lesotho@pays_-_4,
MACÉDOINE,4,5,pays_-_4,macédoine@pays_-_4,
IRAK,1,6,pays_-_4,irak@pays_-_4,
KAZAKHSTAN,2,6,pays_-_4,kazakhstan@pays_-_4,
LETTONIE,3,6,pays_-_4,lettonie@pays_-_4,
MADAGASCAR,4,6,pays_-_4,madagascar@pays_-_4,
IRAN,1,7,pays_-_4,iran@pays_-_4,
KENYA,2,7,pays_-_4,kenya@pays_-_4,
LIBAN,3,7,pays_-_4,liban@pays_-_4,
PAGE PRÉCÉDENTE,4,7,pays_-_4,page_précédente@pays_-_4,
,,,page_précédente@pays_-_4,pays_-_3,
IRLANDE,1,8,pays_-_4,irlande@pays_-_4,
KIRGHIZISTAN,2,8,pays_-_4,kirghizistan@pays_-_4,
LIBÉRIA,3,8,pays_-_4,libéria@pays_-_4,
PAGE SUIVANTE,4,8,pays_-_4,page_suivante@pays_-_4,
,,,page_suivante@pays_-_4,pays_-_5,
MALAISIE,1,1,pays_-_5,malaisie@pays_-_5,
MOLDAVIE,2,1,pays_-_5,moldavie@pays_-_5,
NORVÈGE,3,1,pays_-_5,norvège@pays_-_5,
PAPOUASIE-NOUVELLE-GUINÉE,4,1,pays_-_5,papouasie-nouvelle-guinée@pays_-_5,
MALAWI,1,2,pays_-_5,malawi@pays_-_5,
MONGOLIE,2,2,pays_-_5,mongolie@pays_-_5,
NOUVELLE-ZÉLANDE,3,2,pays_-_5,nouvelle-zélande@pays_-_5,
PARAGUAY,4,2,pays_-_5,paraguay@pays_-_5,
MALDIVES,1,3,pays_-_5,maldives@pays_-_5,
MOZAMBIQUE,2,3,pays_-_5,mozambique@pays_-_5,
OMAN,3,3,pays_-_5,oman@pays_-_5,
PAYS-BAS,4,3,pays_-_5,pays-bas@pays_-_5,
MALI,1,4,pays_-_5,mali@pays_-_5,
MYANMAR,2,4,pays_-_5,myanmar@pays_-_5,
OUGANDA,3,4,pays_-_5,ouganda@pays_-_5,
PÉROU,4,4,pays_-_5,pérou@pays_-_5,
MALTE,1,5,pays_-_5,malte@pays_-_5,
NAMIBIE,2,5,pays_-_5,namibie@pays_-_5,
OUZBÉKISTAN,3,5,pays_-_5,ouzbékistan@pays_-_5,
PHILIPPINES,4,5,pays_-_5,philippines@pays_-_5,
MAROC,1,6,pays_-_5,maroc@pays_-_5,
NICARAGUA,2,6,pays_-_5,nicaragua@pays_-_5,
PAKISTAN,3,6,pays_-_5,pakistan@pays_-_5,
POLOGNE,4,6,pays_-_5,pologne@pays_-_5,
MAURICE,1,7,pays_-_5,maurice@pays_-_5,
NIGER,2,7,pays_-_5,niger@pays_-_5,
PALESTINE,3,7,pays_-_5,palestine@pays_-_5,
PAGE PRÉCÉDENTE,4,7,pays_-_5,page_précédente@pays_-_5,
,,,page_précédente@pays_-_5,pays_-_4,
MAURITANIE,1,8,pays_-_5,mauritanie@pays_-_5,
NIGÉRIA,2,8,pays_-_5,nigéria@pays_-_5,
PANAMA,3,8,pays_-_5,panama@pays_-_5,
PAGE SUIVANTE,4,8,pays_-_5,page_suivante@pays_-_5,
,,,page_suivante@pays_-_5,pays_-_6,
PORTO RICO,1,1,pays_-_6,porto_rico@pays_-_6,
RUSSIE,2,1,pays_-_6,russie@pays_-_6,
SLOVÉNIE,3,1,pays_-_6,slovénie@pays_-_6,
TAÏWAN,4,1,pays_-_6,taïwan@pays_-_6,
PORTUGAL,1,2,pays_-_6,portugal@pays_-_6,
RWANDA,2,2,pays_-_6,rwanda@pays_-_6,
SOMALIE,3,2,pays_-_6,somalie@pays_-_6,
TANZANIE,4,2,pays_-_6,tanzanie@pays_-_6,
QATAR,1,3,pays_-_6,qatar@pays_-_6,
SÉNÉGAL,2,3,pays_-_6,sénégal@pays_-_6,
SOUDAN,3,3,pays_-_6,soudan@pays_-_6,
TCHAD,4,3,pays_-_6,tchad@pays_-_6,
RÉPUBLIQUE CENTRAFRICAINE,1,4,pays_-_6,république_centrafricaine@pays_-_6,
SERBIE,2,4,pays_-_6,serbie@pays_-_6,
SUÈDE,3,4,pays_-_6,suède@pays_-_6,
THAÏLANDE,4,4,pays_-_6,thaïlande@pays_-_6,
RÉPUBLIQUE DÉMOCRATIQUE DU CONGO,1,5,pays_-_6,république_démocratique_du_congo@pays_-_6,
SEYCHELLES,2,5,pays_-_6,seychelles@pays_-_6,
SUISSE,3,5,pays_-_6,suisse@pays_-_6,
TIBET,4,5,pays_-_6,tibet@pays_-_6,
RÉPUBLIQUE DOMINICAINE,1,6,pays_-_6,république_dominicaine@pays_-_6,
SIERRA LÉONE,2,6,pays_-_6,sierra_léone@pays_-_6,
SWAZILAND,3,6,pays_-_6,swaziland@pays_-_6,
TOGO,4,6,pays_-_6,togo@pays_-_6,
RÉPUBLIQUE TCHÈQUE,1,7,pays_-_6,république_tchèque@pays_-_6,
SINGAPOUR,2,7,pays_-_6,singapour@pays_-_6,
SYRIE,3,7,pays_-_6,syrie@pays_-_6,
PAGE PRÉCÉDENTE,4,7,pays_-_6,page_précédente@pays_-_6,
ROUMANIE,1,8,pays_-_6,roumanie@pays_-_6,
SLOVAQUIE,2,8,pays_-_6,slovaquie@pays_-_6,
TADJIKISTAN,3,8,pays_-_6,tadjikistan@pays_-_6,
PAGE SUIVANTE,4,8,pays_-_6,page_suivante@pays_-_6,
,,,page_suivante@pays_-_6,pays_-_7,
TRINITÉ-ET-TOBAGO,1,1,pays_-_7,trinité-et-tobago@pays_-_7,
YÉMEN,2,1,pays_-_7,yémen@pays_-_7,
TUNISIE,1,2,pays_-_7,tunisie@pays_-_7,
ZAMBIE,2,2,pays_-_7,zambie@pays_-_7,
TURKMÉNISTAN,1,3,pays_-_7,turkménistan@pays_-_7,
ZIMBABWE,2,3,pays_-_7,zimbabwe@pays_-_7,
TURQUIE,1,4,pays_-_7,turquie@pays_-_7,
UKRAINE,1,5,pays_-_7,ukraine@pays_-_7,
URUGUAY,1,6,pays_-_7,uruguay@pays_-_7,
VENEZUELA,1,7,pays_-_7,venezuela@pays_-_7,
PAGE PRÉCÉDENTE,4,7,pays_-_7,page_précédente@pays_-_7,
,,,page_précédente@pays_-_7,pays_-_6,
VIÊT NAM,1,8,pays_-_7,viêt_nam@pays_-_7,
RETOUR,4,8,pays_-_7,retour@pays_-_7,
,,,retour@pays_-_7,pays,
JE,1,1,maison,je@maison,
TU,2,1,maison,tu@maison,
Y,3,1,maison,y@maison,
MA CHAMBRE,4,1,maison,ma_chambre@maison,
ÊTRE,1,2,maison,être@maison,
VENIR,2,2,maison,venir@maison,
