Mot,Ligne,Colonne,Page,identifiant,
VOTER,1,8,penser_-_2,voter@penser_-_2,
RETOUR,4,8,penser_-_2,retour@penser_-_2,
,,,retour@penser_-_2,penser,
JE ,1,1,lieu,je@lieu,
TU ,2,1,lieu,tu@lieu,
ÇA,3,1,lieu,ça@lieu,
VISITER,4,1,lieu,visiter@lieu,
ÊTRE,1,2,lieu,être@lieu,
TROUVER,2,2,lieu,trouver@lieu,
QUITTER,3,2,lieu,quitter@lieu,
VOULOIR,1,3,lieu,vouloir@lieu,
VOLER,2,3,lieu,voler@lieu,
HABITER,3,3,lieu,habiter@lieu,
AIMER,1,4,lieu,aimer@lieu,
SUIVRE,2,4,lieu,suivre@lieu,
PERDRE,3,4,lieu,perdre@lieu,
FAIRE,1,5,lieu,faire@lieu,
ALLER,2,5,lieu,aller@lieu,
FAIRE DU VÉLO,3,5,lieu,faire_du_vélo@lieu,
VENIR,1,6,lieu,venir@lieu,
CACHER,2,6,lieu,cacher@lieu,
RESTER,3,6,lieu,rester@lieu,
CONDUIRE,1,7,lieu,conduire@lieu,
PAS,2,7,lieu,pas@lieu,
PRENDRE,3,7,lieu,prendre@lieu,
ENCORE,1,8,lieu,encore@lieu,
C’EST FINI,2,8,lieu,c’est_fini@lieu,
TOURNER,3,8,lieu,tourner@lieu,
PLUS,4,8,lieu,plus@lieu,
,,,plus@lieu,lieu,
ENTRER,1,1,lieu_-_2,entrer@lieu_-_2,
ÉCHAPPER,1,2,lieu_-_2,échapper@lieu_-_2,
SORTIR,1,3,lieu_-_2,sortir@lieu_-_2,
PARTIR,1,4,lieu_-_2,partir@lieu_-_2,
RETOURNER,1,5,lieu_-_2,retourner@lieu_-_2,
VOYAGER,1,6,lieu_-_2,voyager@lieu_-_2,
DÉMÉNAGER,1,7,lieu_-_2,déménager@lieu_-_2,
RETOUR,4,8,lieu_-_2,retour@lieu_-_2,
,,,retour@lieu_-_2,lieu,
JE,1,1,émotion_action,je@émotion_action,
TU,2,1,émotion_action,tu@émotion_action,
ÇA,3,1,émotion_action,ça@émotion_action,
SOUHAITER,4,1,émotion_action,souhaiter@émotion_action,
ÊTRE,1,2,émotion_action,être@émotion_action,
SENTIR,2,2,émotion_action,sentir@émotion_action,
RIRE,3,2,émotion_action,rire@émotion_action,
BATTRE,4,2,émotion_action,battre@émotion_action,
VOULOIR,1,3,émotion_action,vouloir@émotion_action,
DÉTESTER,2,3,émotion_action,détester@émotion_action,
AIMER,3,3,émotion_action,aimer@émotion_action,
AIMER,1,4,émotion_action,aimer@émotion_action,
BLESSER,2,4,émotion_action,blesser@émotion_action,
PERDRE,3,4,émotion_action,perdre@émotion_action,
FAIRE,1,5,émotion_action,faire@émotion_action,
IGNORER,2,5,émotion_action,ignorer@émotion_action,
MANQUER,3,5,émotion_action,manquer@émotion_action,
PRENDRE SOIN,1,6,émotion_action,prendre@soin@émotion_action,
EMBRASSER,2,6,émotion_action,embrasser@émotion_action,
AVOIR BESOIN,3,6,émotion_action,avoir_besoin@émotion_action,
PLEURER,1,7,émotion_action,pleurer@émotion_action,
PAS,2,7,émotion_action,pas@émotion_action,
VOULOIR,3,7,émotion_action,vouloir@émotion_action,
ENCORE,1,8,émotion_action,encore@émotion_action,
C’EST FINI,2,8,émotion_action,c’est_fini@émotion_action,
GAGNER,3,8,émotion_action,gagner@émotion_action,
PLUS,4,8,émotion_action,plus@émotion_action,
,,,plus@émotion_action,émotion_action_-_2,
DISPUTER,1,1,émotion_action_-_2,disputer@émotion_action_-_2,
SOUPIRER,2,1,émotion_action_-_2,soupirer@émotion_action_-_2,
ACCUSER,1,2,émotion_action_-_2,accuser@émotion_action_-_2,
SOURIRE,2,2,émotion_action_-_2,sourire@émotion_action_-_2,
DÉRANGER,1,3,émotion_action_-_2,déranger@émotion_action_-_2,
