from,to
décrire@%indices_accueil,mots_descriptifs_indices_accueil
lieux@%indices_accueil_-_2,lieux_indices_accueil
catégorie@%indices_accueil_-_2,catégorie_indices_accueil
ponctuation@%clavier_indices_accueil,ponctuation_indices_accueil
nombres@%clavier_indices_accueil_-_2 ,nombres_indices_accueil
clavier_indices_accueil_majuscule@%clavier_indices_accueil_-_2 ,clavier_majuscules_indices_accueil
ponctuation@%nombres_clavier_indices_accueil,ponctuation_nombres_clavier_indices_accueil
ponctuation@%clavier_majuscules_indices_accueil,ponctuation_clavier_majuscules_indices_accueil
nombres@%clavier_majuscules_indices_accueil_-_2 ,nombres_clavier_majuscules_indices_accueil
ponctuation@%nombres_clavier_majuscules_indices_accueil,ponctuation_nombres_clavier_majuscules_indices_accueil
émotions@%mots_descriptifs_indices_accueil,émotions_mots_descriptifs_indices_accueil
couleurs@%mots_descriptifs_indices_accueil,couleurs_mots_descriptifs_indices_accueil
positifs@%mots_descriptifs_indices_accueil_-_2,positifs_mots_descriptifs_indices_accueil
quantités@%mots_descriptifs_indices_accueil_-_2,quantités_mots_descriptifs_indices_accueil
négatifs@%mots_descriptifs_indices_accueil_-_2,négatifs_mots_descriptifs_indices_accueil
contraires@%mots_descriptifs_indices_accueil_-_2,contraires_mots_descriptifs_indices_accueil
